id z dz m dm
03D1au 0.5030890107 0.0005000000237 22.93445 0.12605
03D1ax 0.4948010147 0.001000000047 22.8802 0.11765
03D1co 0.6776679754 0.001000000047 24.0377 0.2056
03D1ew 0.8665009737 0.009999999776 24.34685 0.17385
03D1fq 0.7985730171 0.009999999776 24.3605 0.17435
03D3ay 0.3714410067 0.0003000000142 22.28785 0.1245
03D3bl 0.3558180034 0.0005000000237 22.05915 0.12645
03D4ag 0.2836070061 0.001000000047 21.40915 0.1028
03D4au 0.4664100111 0.001000000047 23.21635 0.1587
03D4cx 0.9468839765 0.009999999776 24.41155 0.1642
03D4cz 0.6931610107 0.001000000047 23.79645 0.24445
03D4di 0.896938026 0.001000000047 24.40275 0.16645
03D4fd 0.7890490294 0.001000000047 24.2188 0.11585
03D4gg 0.5902760029 0.001000000047 23.3354 0.1666
04D1dc 0.210036993 0.001000000047 20.64495 0.10525
04D1ff 0.8585199714 0.009999999776 24.1237 0.1478
04D1hx 0.5587520003 0.001000000047 23.1648 0.1335
04D1iv 0.9963979721 0.001000000047 24.69965 0.1408
04D1jg 0.5829380155 0.0005000000237 23.34385 0.1258
04D1ks 0.7965589762 0.009999999776 23.85445 0.1588
04D1ow 0.9134799838 0.009999999776 24.37895 0.13735
04D1pd 0.9484620094 0.009999999776 24.66675 0.15105
04D1pp 0.7336149812 0.001000000047 23.8481 0.15575
04D1qd 0.7655950189 0.001000000047 24.10805 0.1549
04D1rx 0.9834139943 0.001000000047 24.828 0.153
04D1si 0.7006379962 0.001000000047 23.7492 0.1738
04D2al 0.8381339908 0.001000000047 24.1545 0.1807
04D2cf 0.3705930114 0.001000000047 22.1401 0.1211
04D2fs 0.3585759997 0.001000000047 21.95965 0.1186
04D2gc 0.5227689743 0.001000000047 23.15915 0.14165
04D2iu 0.701973021 0.009999999776 23.7115 0.26255
04D2kr 0.7461259961 0.0005000000237 23.8056 0.16465
04D2mh 0.591843009 0.009999999776 23.2429 0.12625
04D3co 0.6206290126 0.009999999776 23.5114 0.1131
04D3dd 1.002791047 0.001000000047 25.0798 0.19135
04D3do 0.6106410027 0.009999999776 23.47615 0.1329
04D3fk 0.3583340049 0.000699999975 21.9694 0.11425
04D3gt 0.4515540004 0.001000000047 22.4159 0.12515
04D3hn 0.5526019931 0.001000000047 22.98515 0.13425
04D3ks 0.7506780028 0.009999999776 23.763 0.19155
04D3lu 0.8226940036 0.001000000047 24.3356 0.14625
04D3ml 0.9507600069 0.009999999776 24.68515 0.14485
04D3nh 0.3405170143 0.001000000047 21.9463 0.10555
04D3ny 0.8107169867 0.009999999776 24.0795 0.17055
04D4an 0.6112480164 0.001000000047 23.7392 0.1593
04D4bq 0.5483199954 0.009999999776 22.8926 0.1438
04D4dw 1.02879405 0.001000000047 24.7289 0.16015
04D4gg 0.4224480093 0.001000000047 22.35675 0.1192
04D4hu 0.7011529803 0.001000000047 23.90875 0.1805
04D4ic 0.6851750016 0.001000000047 23.844 0.2326
04D4ih 0.9318959713 0.001000000047 24.54795 0.15235
04D4im 0.7490950227 0.001000000047 23.81055 0.18275
04D4jr 0.4684019983 0.009999999776 22.73255 0.11785
04D4jw 0.9588660002 0.001000000047 24.80665 0.17245
05D1az 0.8405290246 0.001000000047 24.22255 0.1456
05D1cc 0.5627560019 0.001000000047 23.2428 0.11755
05D1cl 0.8285350204 0.009999999776 24.39785 0.1526
05D1dx 0.5787510276 0.009999999776 23.22495 0.12065
05D1em 0.8645039797 0.001000000047 24.3693 0.14625
05D1er 0.8585140109 0.009999999776 24.4442 0.16535
05D1hm 0.5857489705 0.001000000047 23.5694 0.1417
05D1ix 0.488804996 0.009999999776 22.8653 0.1136
05D1ke 0.6886619925 0.009999999776 23.6132 0.1518
05D2ab 0.3245379925 0.001000000047 21.79365 0.10225
05D2ah 0.1853770018 0.001000000047 20.4558 0.10405
05D2bt 0.6819499731 0.009999999776 23.59755 0.1484
05D2bw 0.9222180247 0.009999999776 24.355 0.1708
05D2cb 0.4286519885 0.001000000047 22.751 0.1294
05D2ck 0.6999679804 0.001000000047 23.95255 0.2153
05D2dt 0.5758299828 0.001000000047 23.38495 0.13845
05D2dy 0.5117530227 0.009999999776 23.11305 0.1165
05D2ec 0.641900003 0.001000000047 23.62155 0.1659
05D2hc 0.3515659869 0.009999999776 22.2272 0.1136
05D2ie 0.3495630026 0.001000000047 22.14445 0.11065
05D2mp 0.3552669883 0.0003999999899 22.23665 0.113
05D2nn 0.8721609712 0.009999999776 24.3402 0.1332
05D2ob 0.9262290001 0.001000000047 24.7687 0.10935
05D3cf 0.4195660055 0.001000000047 22.59095 0.12095
05D3cq 0.8907259703 0.001000000047 24.1804 0.14085
05D3dd 0.480565995 0.009999999776 22.7752 0.1151
05D3gp 0.5806009769 0.009999999776 23.36785 0.1608
05D3ha 0.8056920171 0.001000000047 24.09575 0.1555
05D3hs 0.6646350026 0.001000000047 23.6337 0.1611
05D3jb 0.745661974 0.001000000047 24.00735 0.1527
05D3jk 0.7366870046 0.001000000047 23.77845 0.1399
05D3jr 0.370528996 0.009999999776 22.04575 0.11295
